Tour ID,Tour Name,Date,Status,Spots Available,Notes
4,Dubai Luxury Escape,2026-04-17,available,6,
4,Dubai Luxury Escape,2026-05-01,available,8,
4,Dubai Luxury Escape,2026-05-15,available,6,Last comfortable month
4,Dubai Luxury Escape,2026-05-29,available,8,
4,Dubai Luxury Escape,2026-06-05,limited,4,Getting warmer - discounted
4,Dubai Luxury Escape,2026-07-03,available,8,Indoor activities focus
4,Dubai Luxury Escape,2026-07-17,available,6,
4,Dubai Luxury Escape,2026-08-07,available,8,
4,Dubai Luxury Escape,2026-08-21,available,6,
4,Dubai Luxury Escape,2026-09-04,available,8,Weather improving
4,Dubai Luxury Escape,2026-09-18,available,8,
4,Dubai Luxury Escape,2026-10-02,available,8,Perfect autumn weather
4,Dubai Luxury Escape,2026-10-16,available,8,
4,Dubai Luxury Escape,2026-10-30,limited,3,Popular month
4,Dubai Luxury Escape,2026-11-06,available,8,
4,Dubai Luxury Escape,2026-11-20,available,6,
4,Dubai Luxury Escape,2026-12-04,limited,5,Festive season in Dubai
4,Dubai Luxury Escape,2026-12-11,limited,3,New Year countdown packages
4,Dubai Luxury Escape,2026-12-18,sold-out,0,Fully booked - New Year fireworks
5,Patagonia Wild Expedition,2026-04-05,available,10,Last of the summer season
5,Patagonia Wild Expedition,2026-04-19,available,8,Autumn colours in Patagonia
5,Patagonia Wild Expedition,2026-05-03,available,10,Shoulder season - great value
5,Patagonia Wild Expedition,2026-05-17,limited,4,Last departures before winter
5,Patagonia Wild Expedition,2026-10-04,available,10,Season begins - spring wildflowers
5,Patagonia Wild Expedition,2026-10-18,available,10,
5,Patagonia Wild Expedition,2026-11-01,available,10,
5,Patagonia Wild Expedition,2026-11-08,available,8,
5,Patagonia Wild Expedition,2026-11-15,limited,4,Peak season starting
5,Patagonia Wild Expedition,2026-11-22,available,10,
5,Patagonia Wild Expedition,2026-11-29,sold-out,0,Fully booked
5,Patagonia Wild Expedition,2026-12-06,available,10,Perfect summer weather
5,Patagonia Wild Expedition,2026-12-13,limited,3,Peak season - book early!
5,Patagonia Wild Expedition,2026-12-20,sold-out,0,Fully booked - Christmas departure
6,Greek Islands Odyssey,2026-04-03,available,12,
6,Greek Islands Odyssey,2026-04-17,available,12,Spring wildflowers in bloom
6,Greek Islands Odyssey,2026-05-01,available,12,
6,Greek Islands Odyssey,2026-05-08,available,10,
6,Greek Islands Odyssey,2026-05-15,available,12,
6,Greek Islands Odyssey,2026-05-22,available,10,
6,Greek Islands Odyssey,2026-05-29,available,12,
6,Greek Islands Odyssey,2026-06-05,available,12,
6,Greek Islands Odyssey,2026-06-12,available,10,
6,Greek Islands Odyssey,2026-06-19,limited,5,Summer season begins
6,Greek Islands Odyssey,2026-06-26,available,12,
6,Greek Islands Odyssey,2026-07-03,sold-out,0,Fully booked - peak summer
6,Greek Islands Odyssey,2026-07-10,sold-out,0,Fully booked - peak summer
6,Greek Islands Odyssey,2026-07-17,limited,2,Very limited - waitlist available
6,Greek Islands Odyssey,2026-07-24,sold-out,0,Fully booked
6,Greek Islands Odyssey,2026-07-31,limited,4,
6,Greek Islands Odyssey,2026-08-07,limited,3,August peak season
6,Greek Islands Odyssey,2026-08-14,available,10,
6,Greek Islands Odyssey,2026-08-21,available,12,
6,Greek Islands Odyssey,2026-08-28,available,10,
6,Greek Islands Odyssey,2026-09-04,available,12,Best time - less crowds!
6,Greek Islands Odyssey,2026-09-11,available,12,Perfect September weather
6,Greek Islands Odyssey,2026-09-18,available,12,
6,Greek Islands Odyssey,2026-09-25,available,10,
6,Greek Islands Odyssey,2026-10-02,available,12,
6,Greek Islands Odyssey,2026-10-09,available,10,Autumn on the islands
6,Greek Islands Odyssey,2026-10-16,available,12,
6,Greek Islands Odyssey,2026-10-23,limited,4,Last summer departures
